Line id,Time,Level,Content,Event Id,Event Templte
26,Sun Mar 02 08:02:05 2025,error,mod_jk child workerEnv in error state 9,E3,dhsfvsdfychzsd
27,Sun Mar 02 08:02:10 2025,error,mod_jk child workerEnv in error state 6,E3,dhsfvsdfychzsd
28,Sun Mar 02 08:02:15 2025,error,[client 198.51.100.235] Directory index forbidden by rule: /var/www/html/admin/,E4,dhsfvsdfychzsd
29,Sun Mar 02 08:02:20 2025,error,mod_jk child workerEnv in error state 6,E3,dhsfvsdfychzsd
30,Sun Mar 02 08:02:25 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
31,Sun Mar 02 08:02:30 2025,notice,jk2_init() Found child 1006 in scoreboard slot 7,E1,dhsfvsdfychzsd
32,Sun Mar 02 08:02:35 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
33,Sun Mar 02 08:02:40 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
34,Sun Mar 02 08:02:45 2025,error,mod_jk child workerEnv in error state 6,E3,dhsfvsdfychzsd
35,Sun Mar 02 08:02:50 2025,notice,jk2_init() Found child 1007 in scoreboard slot 9,E1,dhsfvsdfychzsd
36,Sun Mar 02 08:02:55 2025,error,mod_jk child workerEnv in error state 6,E3,dhsfvsdfychzsd
37,Sun Mar 02 08:03:00 2025,error,[client 203.0.113.81] Unauthorized access attempt detected: /var/www/html/config/,E4,dhsfvsdfychzsd
38,Sun Mar 02 08:03:05 2025,notice,jk2_init() Found child 1008 in scoreboard slot 10,E1,dhsfvsdfychzsd
39,Sun Mar 02 08:03:10 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
40,Sun Mar 02 08:03:15 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
41,Sun Mar 02 08:03:20 2025,error,[client 172.16.0.68] Directory index forbidden by rule: /var/www/html/admin/,E4,dhsfvsdfychzsd
42,Sun Mar 02 08:03:25 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
43,Sun Mar 02 08:03:30 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
44,Sun Mar 02 08:03:35 2025,error,mod_jk child workerEnv in error state 6,E3,dhsfvsdfychzsd
45,Sun Mar 02 08:03:40 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
46,Sun Mar 02 08:03:45 2025,error,mod_jk child workerEnv in error state 7,E3,dhsfvsdfychzsd
47,Sun Mar 02 08:03:50 2025,error,mod_jk child workerEnv in error state 6,E3,dhsfvsdfychzsd
48,Sun Mar 02 08:03:55 2025,error,[client 10.0.0.108] Unauthorized access attempt detected: /var/www/html/admin/,E4,dhsfvsdfychzsd
49,Sun Mar 02 08:04:00 2025,notice,jk2_init() Found child 1009 in scoreboard slot 8,E1,dhsfvsdfychzsd
50,Sun Mar 02 08:04:05 2025,error,[client 10.0.0.208] Directory index forbidden by rule: /var/www/html/,E4,dhsfvsdfychzsd
51,Sun Mar 02 08:04:10 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
52,Sun Mar 02 08:04:15 2025,error,mod_jk child workerEnv in error state 9,E3,dhsfvsdfychzsd
53,Sun Mar 02 08:04:20 2025,error,[client 203.0.113.66] Unauthorized access attempt detected: /var/www/html/,E4,dhsfvsdfychzsd
54,Sun Mar 02 08:04:25 2025,error,mod_jk child workerEnv in error state 6,E3,dhsfvsdfychzsd
55,Sun Mar 02 08:04:30 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
56,Sun Mar 02 08:04:35 2025,error,mod_jk child workerEnv in error state 8,E3,dhsfvsdfychzsd
57,Sun Mar 02 08:04:40 2025,error,mod_jk child workerEnv in error state 9,E3,dhsfvsdfychzsd
58,Sun Mar 02 08:04:45 2025,error,mod_jk child workerEnv in error state 8,E3,dhsfvsdfychzsd
59,Sun Mar 02 08:04:50 2025,error,mod_jk child workerEnv in error state 7,E3,dhsfvsdfychzsd
60,Sun Mar 02 08:04:55 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
61,Sun Mar 02 08:05:00 2025,error,[client 203.0.113.94] Unauthorized access attempt detected: /var/www/html/private/,E4,dhsfvsdfychzsd
62,Sun Mar 02 08:05:05 2025,error,mod_jk child workerEnv in error state 7,E3,dhsfvsdfychzsd
63,Sun Mar 02 08:05:10 2025,error,mod_jk child workerEnv in error state 9,E3,dhsfvsdfychzsd
64,Sun Mar 02 08:05:15 2025,error,mod_jk child workerEnv in error state 8,E3,dhsfvsdfychzsd
65,Sun Mar 02 08:05:20 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
66,Sun Mar 02 08:05:25 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
67,Sun Mar 02 08:05:30 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
68,Sun Mar 02 08:05:35 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
69,Sun Mar 02 08:05:40 2025,error,mod_jk child workerEnv in error state 8,E3,dhsfvsdfychzsd
70,Sun Mar 02 08:05:45 2025,error,mod_jk child workerEnv in error state 9,E3,dhsfvsdfychzsd
71,Sun Mar 02 08:05:50 2025,notice,jk2_init() Found child 1010 in scoreboard slot 10,E1,dhsfvsdfychzsd
72,Sun Mar 02 08:05:55 2025,error,mod_jk child workerEnv in error state 6,E3,dhsfvsdfychzsd
73,Sun Mar 02 08:06:00 2025,error,mod_jk child workerEnv in error state 7,E3,dhsfvsdfychzsd
74,Sun Mar 02 08:06:05 2025,notice,jk2_init() Found child 1011 in scoreboard slot 9,E1,dhsfvsdfychzsd
75,Sun Mar 02 08:06:10 2025,error,[client 192.168.1.161] Directory index forbidden by rule: /var/www/html/,E4,dhsfvsdfychzsd
76,Sun Mar 02 08:06:15 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
77,Sun Mar 02 08:06:20 2025,error,[client 10.0.0.210] Unauthorized access attempt detected: /var/www/html/,E4,dhsfvsdfychzsd
78,Sun Mar 02 08:06:25 2025,error,mod_jk child workerEnv in error state 9,E3,dhsfvsdfychzsd
79,Sun Mar 02 08:06:30 2025,error,[client 203.0.113.229] Unauthorized access attempt detected: /var/www/html/,E4,dhsfvsdfychzsd
80,Sun Mar 02 08:06:35 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
81,Sun Mar 02 08:06:40 2025,error,mod_jk child workerEnv in error state 9,E3,dhsfvsdfychzsd
82,Sun Mar 02 08:06:45 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
83,Sun Mar 02 08:06:50 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
84,Sun Mar 02 08:06:55 2025,notice,jk2_init() Found child 1012 in scoreboard slot 8,E1,dhsfvsdfychzsd
85,Sun Mar 02 08:07:00 2025,error,mod_jk child workerEnv in error state 8,E3,dhsfvsdfychzsd
86,Sun Mar 02 08:07:05 2025,notice,jk2_init() Found child 1013 in scoreboard slot 7,E1,dhsfvsdfychzsd
87,Sun Mar 02 08:07:10 2025,error,[client 192.168.1.68] Unauthorized access attempt detected: /var/www/html/private/,E4,dhsfvsdfychzsd
88,Sun Mar 02 08:07:15 2025,error,[client 172.16.0.33] Directory index forbidden by rule: /var/www/html/config/,E4,dhsfvsdfychzsd
89,Sun Mar 02 08:07:20 2025,error,mod_jk child workerEnv in error state 7,E3,dhsfvsdfychzsd
90,Sun Mar 02 08:07:25 2025,error,mod_jk child workerEnv in error state 8,E3,dhsfvsdfychzsd
91,Sun Mar 02 08:07:30 2025,error,mod_jk child workerEnv in error state 7,E3,dhsfvsdfychzsd
92,Sun Mar 02 08:07:35 2025,notice,jk2_init() Found child 1014 in scoreboard slot 8,E1,dhsfvsdfychzsd
93,Sun Mar 02 08:07:40 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
94,Sun Mar 02 08:07:45 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
95,Sun Mar 02 08:07:50 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
96,Sun Mar 02 08:07:55 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
97,Sun Mar 02 08:08:00 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
98,Sun Mar 02 08:08:05 2025,error,mod_jk child workerEnv in error state 7,E3,dhsfvsdfychzsd
99,Sun Mar 02 08:08:10 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
100,Sun Mar 02 08:08:15 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
101,Sun Mar 02 08:08:20 2025,error,[client 192.168.1.22] Directory index forbidden by rule: /var/www/html/,E4,dhsfvsdfychzsd
102,Sun Mar 02 08:08:25 2025,error,mod_jk child workerEnv in error state 9,E3,dhsfvsdfychzsd
103,Sun Mar 02 08:08:30 2025,notice,jk2_init() Found child 1015 in scoreboard slot 10,E1,dhsfvsdfychzsd
104,Sun Mar 02 08:08:35 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
105,Sun Mar 02 08:08:40 2025,notice,jk2_init() Found child 1016 in scoreboard slot 9,E1,dhsfvsdfychzsd
106,Sun Mar 02 08:08:45 2025,error,mod_jk child workerEnv in error state 7,E3,dhsfvsdfychzsd
107,Sun Mar 02 08:08:50 2025,error,[client 198.51.100.6] Unauthorized access attempt detected: /var/www/html/,E4,dhsfvsdfychzsd
108,Sun Mar 02 08:08:55 2025,error,mod_jk child workerEnv in error state 7,E3,dhsfvsdfychzsd
109,Sun Mar 02 08:09:00 2025,notice,jk2_init() Found child 1017 in scoreboard slot 8,E1,dhsfvsdfychzsd
110,Sun Mar 02 08:09:05 2025,error,[client 192.168.1.28] Unauthorized access attempt detected: /var/www/html/config/,E4,dhsfvsdfychzsd
111,Sun Mar 02 08:09:10 2025,notice,jk2_init() Found child 1018 in scoreboard slot 7,E1,dhsfvsdfychzsd
112,Sun Mar 02 08:09:15 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
113,Sun Mar 02 08:09:20 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
114,Sun Mar 02 08:09:25 2025,notice,jk2_init() Found child 1019 in scoreboard slot 8,E1,dhsfvsdfychzsd
115,Sun Mar 02 08:09:30 2025,error,mod_jk child workerEnv in error state 7,E3,dhsfvsdfychzsd
116,Sun Mar 02 08:09:35 2025,error,[client 10.0.0.233] Directory index forbidden by rule: /var/www/html/private/,E4,dhsfvsdfychzsd
117,Sun Mar 02 08:09:40 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
118,Sun Mar 02 08:09:45 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
119,Sun Mar 02 08:09:50 2025,error,mod_jk child workerEnv in error state 7,E3,dhsfvsdfychzsd
120,Sun Mar 02 08:09:55 2025,error,mod_jk child workerEnv in error state 7,E3,dhsfvsdfychzsd
121,Sun Mar 02 08:10:00 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
122,Sun Mar 02 08:10:05 2025,error,mod_jk child workerEnv in error state 6,E3,dhsfvsdfychzsd
123,Sun Mar 02 08:10:10 2025,error,[client 172.16.0.131] Unauthorized access attempt detected: /var/www/html/,E4,dhsfvsdfychzsd
124,Sun Mar 02 08:10:15 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
125,Sun Mar 02 08:10:20 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
126,Sun Mar 02 08:10:25 2025,notice,jk2_init() Found child 1020 in scoreboard slot 6,E1,dhsfvsdfychzsd
127,Sun Mar 02 08:10:30 2025,error,[client 203.0.113.129] Unauthorized access attempt detected: /var/www/html/admin/,E4,dhsfvsdfychzsd
128,Sun Mar 02 08:10:35 2025,notice,jk2_init() Found child 1021 in scoreboard slot 8,E1,dhsfvsdfychzsd
129,Sun Mar 02 08:10:40 2025,error,[client 192.168.1.184] Unauthorized access attempt detected: /var/www/html/admin/,E4,dhsfvsdfychzsd
130,Sun Mar 02 08:10:45 2025,error,[client 10.0.0.75] Unauthorized access attempt detected: /var/www/html/,E4,dhsfvsdfychzsd
131,Sun Mar 02 08:10:50 2025,error,mod_jk child workerEnv in error state 9,E3,dhsfvsdfychzsd
132,Sun Mar 02 08:10:55 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
133,Sun Mar 02 08:11:00 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
134,Sun Mar 02 08:11:05 2025,error,mod_jk child workerEnv in error state 9,E3,dhsfvsdfychzsd
135,Sun Mar 02 08:11:10 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
136,Sun Mar 02 08:11:15 2025,error,[client 192.168.1.168] Directory index forbidden by rule: /var/www/html/config/,E4,dhsfvsdfychzsd
137,Sun Mar 02 08:11:20 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
138,Sun Mar 02 08:11:25 2025,notice,jk2_init() Found child 1022 in scoreboard slot 8,E1,dhsfvsdfychzsd
139,Sun Mar 02 08:11:30 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
140,Sun Mar 02 08:11:35 2025,error,mod_jk child workerEnv in error state 8,E3,dhsfvsdfychzsd
141,Sun Mar 02 08:11:40 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
142,Sun Mar 02 08:11:45 2025,error,[client 198.51.100.228] Unauthorized access attempt detected: /var/www/html/admin/,E4,dhsfvsdfychzsd
143,Sun Mar 02 08:11:50 2025,notice,jk2_init() Found child 1023 in scoreboard slot 9,E1,dhsfvsdfychzsd
144,Sun Mar 02 08:11:55 2025,error,[client 10.0.0.226] Directory index forbidden by rule: /var/www/html/,E4,dhsfvsdfychzsd
145,Sun Mar 02 08:12:00 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
146,Sun Mar 02 08:12:05 2025,error,[client 172.16.0.154] Directory index forbidden by rule: /var/www/html/config/,E4,dhsfvsdfychzsd
147,Sun Mar 02 08:12:10 2025,error,[client 192.168.1.37] Unauthorized access attempt detected: /var/www/html/admin/,E4,dhsfvsdfychzsd
148,Sun Mar 02 08:12:15 2025,notice,jk2_init() Found child 1024 in scoreboard slot 8,E1,dhsfvsdfychzsd
149,Sun Mar 02 08:12:20 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
150,Sun Mar 02 08:12:25 2025,error,[client 172.16.0.148] Directory index forbidden by rule: /var/www/html/config/,E4,dhsfvsdfychzsd
151,Sun Mar 02 08:12:30 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
152,Sun Mar 02 08:12:35 2025,error,mod_jk child workerEnv in error state 9,E3,dhsfvsdfychzsd
153,Sun Mar 02 08:12:40 2025,error,[client 10.0.0.43] Directory index forbidden by rule: /var/www/html/private/,E4,dhsfvsdfychzsd
154,Sun Mar 02 08:12:45 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
155,Sun Mar 02 08:12:50 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
156,Sun Mar 02 08:12:55 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
157,Sun Mar 02 08:13:00 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
158,Sun Mar 02 08:13:05 2025,error,mod_jk child workerEnv in error state 6,E3,dhsfvsdfychzsd
159,Sun Mar 02 08:13:10 2025,error,mod_jk child workerEnv in error state 9,E3,dhsfvsdfychzsd
160,Sun Mar 02 08:13:15 2025,error,mod_jk child workerEnv in error state 6,E3,dhsfvsdfychzsd
161,Sun Mar 02 08:13:20 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
162,Sun Mar 02 08:13:25 2025,error,mod_jk child workerEnv in error state 7,E3,dhsfvsdfychzsd
163,Sun Mar 02 08:13:30 2025,error,[client 172.16.0.160] Unauthorized access attempt detected: /var/www/html/config/,E4,dhsfvsdfychzsd
164,Sun Mar 02 08:13:35 2025,notice,jk2_init() Found child 1025 in scoreboard slot 10,E1,dhsfvsdfychzsd
165,Sun Mar 02 08:13:40 2025,notice,jk2_init() Found child 1026 in scoreboard slot 6,E1,dhsfvsdfychzsd
166,Sun Mar 02 08:13:45 2025,notice,jk2_init() Found child 1027 in scoreboard slot 6,E1,dhsfvsdfychzsd
167,Sun Mar 02 08:13:50 2025,notice,jk2_init() Found child 1028 in scoreboard slot 7,E1,dhsfvsdfychzsd
168,Sun Mar 02 08:13:55 2025,error,[client 192.168.1.199] Directory index forbidden by rule: /var/www/html/,E4,dhsfvsdfychzsd
169,Sun Mar 02 08:14:00 2025,error,mod_jk child workerEnv in error state 7,E3,dhsfvsdfychzsd
170,Sun Mar 02 08:14:05 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
171,Sun Mar 02 08:14:10 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
172,Sun Mar 02 08:14:15 2025,notice,jk2_init() Found child 1029 in scoreboard slot 10,E1,dhsfvsdfychzsd
173,Sun Mar 02 08:14:20 2025,error,[client 203.0.113.88] Unauthorized access attempt detected: /var/www/html/,E4,dhsfvsdfychzsd
174,Sun Mar 02 08:14:25 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
175,Sun Mar 02 08:14:30 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
176,Sun Mar 02 08:14:35 2025,error,[client 203.0.113.139] Directory index forbidden by rule: /var/www/html/admin/,E4,dhsfvsdfychzsd
177,Sun Mar 02 08:14:40 2025,error,mod_jk child workerEnv in error state 8,E3,dhsfvsdfychzsd
178,Sun Mar 02 08:14:45 2025,notice,jk2_init() Found child 1030 in scoreboard slot 9,E1,dhsfvsdfychzsd
179,Sun Mar 02 08:14:50 2025,error,[client 198.51.100.124] Unauthorized access attempt detected: /var/www/html/private/,E4,dhsfvsdfychzsd
180,Sun Mar 02 08:14:55 2025,notice,jk2_init() Found child 1031 in scoreboard slot 6,E1,dhsfvsdfychzsd
181,Sun Mar 02 08:15:00 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
182,Sun Mar 02 08:15:05 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
183,Sun Mar 02 08:15:10 2025,notice,jk2_init() Found child 1032 in scoreboard slot 6,E1,dhsfvsdfychzsd
184,Sun Mar 02 08:15:15 2025,notice,jk2_init() Found child 1033 in scoreboard slot 10,E1,dhsfvsdfychzsd
185,Sun Mar 02 08:15:20 2025,notice,jk2_init() Found child 1034 in scoreboard slot 9,E1,dhsfvsdfychzsd
186,Sun Mar 02 08:15:25 2025,error,[client 192.168.1.198] Directory index forbidden by rule: /var/www/html/private/,E4,dhsfvsdfychzsd
187,Sun Mar 02 08:15:30 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
188,Sun Mar 02 08:15:35 2025,error,[client 198.51.100.228] Unauthorized access attempt detected: /var/www/html/admin/,E4,dhsfvsdfychzsd
189,Sun Mar 02 08:15:40 2025,error,mod_jk child workerEnv in error state 7,E3,dhsfvsdfychzsd
190,Sun Mar 02 08:15:45 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
191,Sun Mar 02 08:15:50 2025,error,[client 198.51.100.19] Unauthorized access attempt detected: /var/www/html/,E4,dhsfvsdfychzsd
192,Sun Mar 02 08:15:55 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
193,Sun Mar 02 08:16:00 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
194,Sun Mar 02 08:16:05 2025,notice,jk2_init() Found child 1035 in scoreboard slot 10,E1,dhsfvsdfychzsd
195,Sun Mar 02 08:16:10 2025,notice,jk2_init() Found child 1036 in scoreboard slot 9,E1,dhsfvsdfychzsd
196,Sun Mar 02 08:16:15 2025,error,[client 203.0.113.161] Unauthorized access attempt detected: /var/www/html/private/,E4,dhsfvsdfychzsd
197,Sun Mar 02 08:16:20 2025,notice,jk2_init() Found child 1037 in scoreboard slot 9,E1,dhsfvsdfychzsd
198,Sun Mar 02 08:16:25 2025,error,[client 172.16.0.192] Unauthorized access attempt detected: /var/www/html/config/,E4,dhsfvsdfychzsd
199,Sun Mar 02 08:16:30 2025,error,[client 198.51.100.50] Directory index forbidden by rule: /var/www/html/private/,E4,dhsfvsdfychzsd
200,Sun Mar 02 08:16:35 2025,error,mod_jk child workerEnv in error state 8,E3,dhsfvsdfychzsd
201,Sun Mar 02 08:16:40 2025,error,mod_jk child workerEnv in error state 9,E3,dhsfvsdfychzsd
202,Sun Mar 02 08:16:45 2025,notice,jk2_init() Found child 1038 in scoreboard slot 9,E1,dhsfvsdfychzsd
203,Sun Mar 02 08:16:50 2025,error,mod_jk child workerEnv in error state 7,E3,dhsfvsdfychzsd
204,Sun Mar 02 08:16:55 2025,notice,jk2_init() Found child 1039 in scoreboard slot 10,E1,dhsfvsdfychzsd
205,Sun Mar 02 08:17:00 2025,error,mod_jk child workerEnv in error state 8,E3,dhsfvsdfychzsd
206,Sun Mar 02 08:17:05 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
207,Sun Mar 02 08:17:10 2025,error,[client 203.0.113.163] Unauthorized access attempt detected: /var/www/html/,E4,dhsfvsdfychzsd
208,Sun Mar 02 08:17:15 2025,error,mod_jk child workerEnv in error state 7,E3,dhsfvsdfychzsd
209,Sun Mar 02 08:17:20 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
210,Sun Mar 02 08:17:25 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
211,Sun Mar 02 08:17:30 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
212,Sun Mar 02 08:17:35 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
213,Sun Mar 02 08:17:40 2025,error,mod_jk child workerEnv in error state 7,E3,dhsfvsdfychzsd
214,Sun Mar 02 08:17:45 2025,error,mod_jk child workerEnv in error state 7,E3,dhsfvsdfychzsd
215,Sun Mar 02 08:17:50 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
216,Sun Mar 02 08:17:55 2025,notice,jk2_init() Found child 1040 in scoreboard slot 7,E1,dhsfvsdfychzsd
217,Sun Mar 02 08:18:00 2025,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,dhsfvsdfychzsd
218,Sun Mar 02 08:18:05 2025,error,mod_jk child workerEnv in error state 9,E3,dhsfvsdfychzsd
