Event ID,IP Address,Timestamp,Method,URL,Status Code,Size,User Agent,Threat Type
58,27.239.83.40,12/Mar/2025:04:03:53,POST,/login.php,401,1171,Wget/1.21,Brute Force Attempt
59,24.17.245.248,11/Mar/2025:16:06:42,GET,/../../../../etc/passwd,403,953,curl/7.68.0,Directory Traversal
60,174.166.172.212,12/Mar/2025:02:23:44,GET,/search.php?q=<script>alert('XSS')</script>,200,1451,Python-urllib/3.8,XSS Attack
61,115.131.242.202,11/Mar/2025:23:20:39,POST,/login.php,401,1296,Wget/1.21,Brute Force Attempt
62,104.242.15.248,11/Mar/2025:19:55:28,GET,/index.php?id=1' OR '1'='1' --,200,1172,curl/7.68.0,SQL Injection
63,171.182.50.217,11/Mar/2025:20:01:28,GET,/../../../../etc/passwd,403,430,Python-urllib/3.8,Directory Traversal
64,55.255.102.22,11/Mar/2025:22:28:09,GET,/index.php?id=1' OR '1'='1' --,200,428,Mozilla/5.0,SQL Injection
65,8.28.20.39,11/Mar/2025:23:28:44,GET,/../../../../etc/passwd,403,1050,curl/7.68.0,Directory Traversal
66,54.89.163.58,11/Mar/2025:16:05:22,GET,/index.php?id=1' OR '1'='1' --,200,1496,Python-urllib/3.8,SQL Injection
67,199.99.151.217,12/Mar/2025:02:49:37,POST,/upload.php,200,683,Wget/1.21,Web Shell Upload
68,13.124.187.85,12/Mar/2025:11:37:40,POST,/upload.php,200,1349,Wget/1.21,Web Shell Upload
69,250.151.57.223,11/Mar/2025:21:30:10,POST,/login.php,401,584,Mozilla/5.0,Brute Force Attempt
70,86.214.118.42,11/Mar/2025:15:45:55,GET,/search.php?q=<script>alert('XSS')</script>,200,233,Wget/1.21,XSS Attack
71,73.124.188.122,11/Mar/2025:19:07:11,GET,/../../../../etc/passwd,403,1057,Python-urllib/3.8,Directory Traversal
72,53.140.118.240,12/Mar/2025:04:30:33,POST,/upload.php,200,522,Wget/1.21,Web Shell Upload
73,245.115.195.58,11/Mar/2025:17:55:27,GET,/../../../../etc/passwd,403,490,Mozilla/5.0,Directory Traversal
74,199.25.172.33,12/Mar/2025:01:43:01,POST,/upload.php,200,325,Python-urllib/3.8,Web Shell Upload
75,74.172.249.120,11/Mar/2025:19:38:33,GET,/index.php?id=1' OR '1'='1' --,200,1498,Python-urllib/3.8,SQL Injection
76,39.39.137.100,11/Mar/2025:18:36:51,GET,/index.php?id=1' OR '1'='1' --,200,601,Mozilla/5.0,SQL Injection
77,53.143.171.36,12/Mar/2025:07:24:38,POST,/upload.php,200,265,Wget/1.21,Web Shell Upload
78,129.121.160.20,12/Mar/2025:02:46:37,GET,/../../../../etc/passwd,403,895,Wget/1.21,Directory Traversal
79,186.213.200.217,12/Mar/2025:02:27:00,GET,/search.php?q=<script>alert('XSS')</script>,200,455,Wget/1.21,XSS Attack
80,244.102.117.7,11/Mar/2025:18:55:50,GET,/index.php?id=1' OR '1'='1' --,200,284,Mozilla/5.0,SQL Injection
81,106.14.30.33,12/Mar/2025:03:59:14,GET,/index.php?id=1' OR '1'='1' --,200,816,Wget/1.21,SQL Injection
82,179.48.132.185,12/Mar/2025:10:08:09,GET,/index.php?id=1' OR '1'='1' --,200,1006,curl/7.68.0,SQL Injection
83,55.43.124.94,11/Mar/2025:21:38:14,GET,/index.php?id=1' OR '1'='1' --,200,694,Mozilla/5.0,SQL Injection
84,216.43.54.29,11/Mar/2025:15:49:12,GET,/vulnerable.php?cmd=whoami,200,1143,Wget/1.21,Remote Code Execution
85,217.4.116.175,11/Mar/2025:12:00:47,POST,/upload.php,200,720,Wget/1.21,Web Shell Upload
86,98.61.50.147,12/Mar/2025:07:38:21,POST,/login.php,401,1053,Python-urllib/3.8,Brute Force Attempt
87,50.165.169.79,11/Mar/2025:13:11:53,POST,/login.php,401,1025,Python-urllib/3.8,Brute Force Attempt
88,160.69.8.165,12/Mar/2025:02:17:05,GET,/index.php?id=1' OR '1'='1' --,200,779,Mozilla/5.0,SQL Injection
89,115.69.227.115,11/Mar/2025:13:50:55,POST,/login.php,401,1476,Python-urllib/3.8,Brute Force Attempt
90,42.255.185.168,12/Mar/2025:03:23:57,POST,/upload.php,200,245,Wget/1.21,Web Shell Upload
91,189.244.15.4,11/Mar/2025:12:27:42,POST,/upload.php,200,315,curl/7.68.0,Web Shell Upload
92,126.157.48.190,11/Mar/2025:21:55:40,GET,/index.php?id=1' OR '1'='1' --,200,1017,Python-urllib/3.8,SQL Injection
93,11.227.151.72,12/Mar/2025:10:29:40,POST,/upload.php,200,369,Python-urllib/3.8,Web Shell Upload
94,204.60.143.27,11/Mar/2025:20:48:40,POST,/upload.php,200,634,curl/7.68.0,Web Shell Upload
95,151.48.46.5,11/Mar/2025:14:26:31,POST,/login.php,401,1197,Python-urllib/3.8,Brute Force Attempt
96,104.96.134.152,12/Mar/2025:07:59:01,GET,/index.php?id=1' OR '1'='1' --,200,1264,Wget/1.21,SQL Injection
97,52.225.43.191,12/Mar/2025:00:51:12,POST,/login.php,401,1424,Mozilla/5.0,Brute Force Attempt
98,160.80.58.9,11/Mar/2025:18:42:38,POST,/upload.php,200,1088,curl/7.68.0,Web Shell Upload
99,5.67.15.199,11/Mar/2025:23:53:02,POST,/login.php,401,1304,Mozilla/5.0,Brute Force Attempt
100,115.248.224.230,11/Mar/2025:14:15:12,GET,/index.php?id=1' OR '1'='1' --,200,305,Mozilla/5.0,SQL Injection
101,250.166.211.82,11/Mar/2025:16:52:35,GET,/vulnerable.php?cmd=whoami,200,1174,Python-urllib/3.8,Remote Code Execution
102,51.238.69.193,12/Mar/2025:09:44:40,POST,/login.php,401,1492,Mozilla/5.0,Brute Force Attempt
103,189.144.217.152,11/Mar/2025:15:01:47,GET,/search.php?q=<script>alert('XSS')</script>,200,843,Mozilla/5.0,XSS Attack
104,5.198.207.183,12/Mar/2025:10:50:15,POST,/upload.php,200,813,curl/7.68.0,Web Shell Upload
105,184.155.149.126,11/Mar/2025:18:21:43,POST,/upload.php,200,1202,Python-urllib/3.8,Web Shell Upload
106,22.66.160.213,12/Mar/2025:11:14:52,POST,/upload.php,200,499,Wget/1.21,Web Shell Upload
107,37.220.154.134,12/Mar/2025:06:10:59,GET,/index.php?id=1' OR '1'='1' --,200,1185,Python-urllib/3.8,SQL Injection
108,180.91.194.21,11/Mar/2025:16:59:19,GET,/vulnerable.php?cmd=whoami,200,1259,curl/7.68.0,Remote Code Execution
109,47.75.94.150,11/Mar/2025:22:09:15,POST,/upload.php,200,1295,curl/7.68.0,Web Shell Upload
110,241.198.106.161,11/Mar/2025:23:26:49,GET,/index.php?id=1' OR '1'='1' --,200,429,Python-urllib/3.8,SQL Injection
111,238.197.225.198,11/Mar/2025:16:32:05,POST,/upload.php,200,965,curl/7.68.0,Web Shell Upload
112,207.171.228.149,11/Mar/2025:19:09:15,POST,/login.php,401,211,Python-urllib/3.8,Brute Force Attempt
113,252.4.188.187,12/Mar/2025:02:26:08,GET,/../../../../etc/passwd,403,450,Mozilla/5.0,Directory Traversal
114,61.5.109.65,12/Mar/2025:01:41:10,POST,/login.php,401,493,Python-urllib/3.8,Brute Force Attempt
115,33.34.69.169,12/Mar/2025:10:22:53,GET,/../../../../etc/passwd,403,415,Wget/1.21,Directory Traversal
116,72.180.164.197,12/Mar/2025:07:48:09,POST,/login.php,401,1430,Wget/1.21,Brute Force Attempt
117,102.151.171.156,11/Mar/2025:21:10:55,GET,/search.php?q=<script>alert('XSS')</script>,200,731,Python-urllib/3.8,XSS Attack
118,98.180.72.130,11/Mar/2025:22:54:08,GET,/search.php?q=<script>alert('XSS')</script>,200,576,Python-urllib/3.8,XSS Attack
119,52.191.6.77,11/Mar/2025:21:40:30,GET,/../../../../etc/passwd,403,383,Python-urllib/3.8,Directory Traversal
120,42.196.175.193,11/Mar/2025:16:43:38,GET,/search.php?q=<script>alert('XSS')</script>,200,397,Mozilla/5.0,XSS Attack
121,66.218.55.13,11/Mar/2025:19:46:49,POST,/upload.php,200,661,Wget/1.21,Web Shell Upload
122,120.12.35.113,12/Mar/2025:08:41:28,GET,/index.php?id=1' OR '1'='1' --,200,514,curl/7.68.0,SQL Injection
123,86.47.3.4,12/Mar/2025:07:17:16,GET,/../../../../etc/passwd,403,1296,Python-urllib/3.8,Directory Traversal
124,96.22.121.41,12/Mar/2025:01:29:59,POST,/upload.php,200,1468,Mozilla/5.0,Web Shell Upload
125,164.65.190.100,12/Mar/2025:08:01:37,GET,/index.php?id=1' OR '1'='1' --,200,1314,Python-urllib/3.8,SQL Injection
126,56.178.118.247,11/Mar/2025:18:40:30,POST,/login.php,401,1120,curl/7.68.0,Brute Force Attempt
127,144.32.49.82,11/Mar/2025:23:37:26,GET,/../../../../etc/passwd,403,237,Python-urllib/3.8,Directory Traversal
128,216.11.131.242,11/Mar/2025:18:10:05,GET,/index.php?id=1' OR '1'='1' --,200,1233,Mozilla/5.0,SQL Injection
129,47.88.166.161,12/Mar/2025:00:05:34,POST,/upload.php,200,985,Wget/1.21,Web Shell Upload
130,140.193.19.248,11/Mar/2025:20:57:59,POST,/upload.php,200,606,Wget/1.21,Web Shell Upload
131,64.44.115.120,12/Mar/2025:10:05:14,POST,/upload.php,200,1479,Wget/1.21,Web Shell Upload
132,230.228.143.8,12/Mar/2025:09:10:38,GET,/index.php?id=1' OR '1'='1' --,200,1247,curl/7.68.0,SQL Injection
133,219.13.228.174,11/Mar/2025:14:16:35,GET,/search.php?q=<script>alert('XSS')</script>,200,317,Mozilla/5.0,XSS Attack
134,246.120.60.158,11/Mar/2025:18:25:40,GET,/index.php?id=1' OR '1'='1' --,200,1221,curl/7.68.0,SQL Injection
135,114.223.180.7,11/Mar/2025:15:46:41,POST,/upload.php,200,363,curl/7.68.0,Web Shell Upload
136,247.123.229.52,12/Mar/2025:10:54:21,GET,/../../../../etc/passwd,403,1466,Wget/1.21,Directory Traversal
137,201.3.185.116,12/Mar/2025:03:04:16,GET,/search.php?q=<script>alert('XSS')</script>,200,617,Mozilla/5.0,XSS Attack
138,40.175.44.197,11/Mar/2025:14:05:48,GET,/index.php?id=1' OR '1'='1' --,200,1440,Python-urllib/3.8,SQL Injection
139,126.174.117.115,11/Mar/2025:22:38:43,POST,/login.php,401,480,Python-urllib/3.8,Brute Force Attempt
140,134.102.186.172,12/Mar/2025:05:14:16,GET,/search.php?q=<script>alert('XSS')</script>,200,1044,curl/7.68.0,XSS Attack
141,15.63.56.112,11/Mar/2025:15:21:42,GET,/../../../../etc/passwd,403,1048,curl/7.68.0,Directory Traversal
142,73.87.243.145,11/Mar/2025:22:18:59,GET,/search.php?q=<script>alert('XSS')</script>,200,1279,Python-urllib/3.8,XSS Attack
143,34.73.239.211,11/Mar/2025:16:31:36,GET,/search.php?q=<script>alert('XSS')</script>,200,774,Python-urllib/3.8,XSS Attack
144,241.124.163.214,12/Mar/2025:10:59:30,GET,/search.php?q=<script>alert('XSS')</script>,200,1182,curl/7.68.0,XSS Attack
145,116.94.203.140,12/Mar/2025:04:33:07,GET,/index.php?id=1' OR '1'='1' --,200,1356,Wget/1.21,SQL Injection
146,64.12.23.241,11/Mar/2025:21:25:21,GET,/vulnerable.php?cmd=whoami,200,1047,Python-urllib/3.8,Remote Code Execution
147,224.233.41.28,11/Mar/2025:16:45:52,POST,/login.php,401,1015,Wget/1.21,Brute Force Attempt
148,204.181.54.129,11/Mar/2025:12:26:59,POST,/login.php,401,852,Python-urllib/3.8,Brute Force Attempt
149,12.2.103.184,12/Mar/2025:04:14:56,GET,/../../../../etc/passwd,403,1064,curl/7.68.0,Directory Traversal
150,245.136.77.64,11/Mar/2025:17:15:03,POST,/login.php,401,299,curl/7.68.0,Brute Force Attempt
151,97.70.58.53,12/Mar/2025:00:24:22,POST,/upload.php,200,566,Wget/1.21,Web Shell Upload
152,194.234.5.114,11/Mar/2025:13:21:02,GET,/../../../../etc/passwd,403,841,Python-urllib/3.8,Directory Traversal
153,196.249.129.10,11/Mar/2025:14:20:49,POST,/upload.php,200,404,Wget/1.21,Web Shell Upload
154,113.208.192.7,11/Mar/2025:20:20:17,GET,/index.php?id=1' OR '1'='1' --,200,706,Wget/1.21,SQL Injection
155,156.36.230.239,12/Mar/2025:03:04:36,POST,/login.php,401,722,Python-urllib/3.8,Brute Force Attempt
156,177.120.252.166,12/Mar/2025:01:36:11,POST,/upload.php,200,1370,Python-urllib/3.8,Web Shell Upload
157,143.170.24.58,12/Mar/2025:11:00:18,POST,/login.php,401,639,Python-urllib/3.8,Brute Force Attempt
158,150.20.168.214,12/Mar/2025:06:41:34,POST,/upload.php,200,1135,curl/7.68.0,Web Shell Upload
159,194.176.124.106,11/Mar/2025:13:56:17,GET,/search.php?q=<script>alert('XSS')</script>,200,856,Wget/1.21,XSS Attack
160,53.224.212.134,11/Mar/2025:16:25:04,POST,/upload.php,200,497,curl/7.68.0,Web Shell Upload
161,32.3.50.201,12/Mar/2025:02:23:32,POST,/upload.php,200,866,curl/7.68.0,Web Shell Upload
162,148.41.77.109,11/Mar/2025:21:18:06,POST,/login.php,401,615,Wget/1.21,Brute Force Attempt
163,236.147.186.229,12/Mar/2025:07:31:40,GET,/search.php?q=<script>alert('XSS')</script>,200,1383,Mozilla/5.0,XSS Attack
164,161.226.178.79,12/Mar/2025:00:49:35,GET,/vulnerable.php?cmd=whoami,200,633,Python-urllib/3.8,Remote Code Execution
165,36.204.10.208,11/Mar/2025:12:06:12,GET,/index.php?id=1' OR '1'='1' --,200,719,curl/7.68.0,SQL Injection
166,28.225.22.4,12/Mar/2025:05:55:24,GET,/index.php?id=1' OR '1'='1' --,200,288,Mozilla/5.0,SQL Injection
167,197.174.37.225,12/Mar/2025:07:58:12,GET,/search.php?q=<script>alert('XSS')</script>,200,1203,Wget/1.21,XSS Attack
168,235.174.181.193,11/Mar/2025:13:44:10,POST,/login.php,401,954,Wget/1.21,Brute Force Attempt
169,217.97.50.32,11/Mar/2025:16:23:27,GET,/../../../../etc/passwd,403,1157,Python-urllib/3.8,Directory Traversal
170,200.232.81.255,12/Mar/2025:11:04:20,GET,/../../../../etc/passwd,403,686,Wget/1.21,Directory Traversal
171,219.9.102.16,12/Mar/2025:03:48:05,GET,/search.php?q=<script>alert('XSS')</script>,200,255,Python-urllib/3.8,XSS Attack
172,168.115.151.16,12/Mar/2025:01:55:41,POST,/upload.php,200,800,Wget/1.21,Web Shell Upload
173,88.211.77.70,11/Mar/2025:15:38:28,POST,/upload.php,200,632,curl/7.68.0,Web Shell Upload
174,30.26.127.118,11/Mar/2025:12:49:29,GET,/../../../../etc/passwd,403,1494,Python-urllib/3.8,Directory Traversal
175,108.209.187.214,12/Mar/2025:07:13:23,POST,/login.php,401,1115,Mozilla/5.0,Brute Force Attempt
176,116.102.157.60,12/Mar/2025:07:32:37,GET,/index.php?id=1' OR '1'='1' --,200,921,Mozilla/5.0,SQL Injection
177,18.66.103.221,11/Mar/2025:15:09:13,GET,/search.php?q=<script>alert('XSS')</script>,200,646,Python-urllib/3.8,XSS Attack
178,16.153.55.85,12/Mar/2025:05:37:01,GET,/../../../../etc/passwd,403,459,curl/7.68.0,Directory Traversal
179,35.216.133.233,12/Mar/2025:11:28:53,POST,/login.php,401,337,Mozilla/5.0,Brute Force Attempt
180,42.21.27.26,11/Mar/2025:22:20:04,POST,/login.php,401,370,curl/7.68.0,Brute Force Attempt
181,9.195.241.184,11/Mar/2025:21:37:17,GET,/search.php?q=<script>alert('XSS')</script>,200,1472,curl/7.68.0,XSS Attack
182,202.144.180.181,12/Mar/2025:07:40:13,GET,/search.php?q=<script>alert('XSS')</script>,200,1084,Mozilla/5.0,XSS Attack
183,178.115.138.71,11/Mar/2025:21:56:16,GET,/search.php?q=<script>alert('XSS')</script>,200,674,Python-urllib/3.8,XSS Attack
184,236.30.7.10,11/Mar/2025:22:08:48,GET,/search.php?q=<script>alert('XSS')</script>,200,455,curl/7.68.0,XSS Attack
185,241.190.227.174,11/Mar/2025:23:21:59,POST,/login.php,401,1074,curl/7.68.0,Brute Force Attempt
186,153.242.198.63,12/Mar/2025:08:23:29,POST,/login.php,401,1094,Python-urllib/3.8,Brute Force Attempt
187,163.7.208.137,11/Mar/2025:22:55:26,GET,/vulnerable.php?cmd=whoami,200,829,curl/7.68.0,Remote Code Execution
188,85.90.175.246,12/Mar/2025:03:46:20,GET,/index.php?id=1' OR '1'='1' --,200,530,Mozilla/5.0,SQL Injection
189,185.43.72.38,12/Mar/2025:10:06:01,GET,/vulnerable.php?cmd=whoami,200,271,Python-urllib/3.8,Remote Code Execution
190,78.186.152.39,12/Mar/2025:08:32:53,GET,/../../../../etc/passwd,403,672,Mozilla/5.0,Directory Traversal
191,7.185.136.23,12/Mar/2025:02:52:15,POST,/upload.php,200,264,Wget/1.21,Web Shell Upload
192,221.94.229.201,12/Mar/2025:10:17:24,GET,/vulnerable.php?cmd=whoami,200,994,Mozilla/5.0,Remote Code Execution
193,99.134.107.222,11/Mar/2025:16:56:56,GET,/index.php?id=1' OR '1'='1' --,200,539,Python-urllib/3.8,SQL Injection
194,111.146.61.165,11/Mar/2025:22:42:23,GET,/../../../../etc/passwd,403,1146,curl/7.68.0,Directory Traversal
195,219.58.252.132,11/Mar/2025:14:20:31,GET,/index.php?id=1' OR '1'='1' --,200,986,curl/7.68.0,SQL Injection
196,8.143.178.106,11/Mar/2025:21:31:15,GET,/vulnerable.php?cmd=whoami,200,851,curl/7.68.0,Remote Code Execution
197,91.32.90.90,12/Mar/2025:07:59:27,GET,/search.php?q=<script>alert('XSS')</script>,200,1172,Wget/1.21,XSS Attack
198,70.219.186.235,12/Mar/2025:07:13:58,GET,/index.php?id=1' OR '1'='1' --,200,793,Wget/1.21,SQL Injection
199,129.200.227.178,12/Mar/2025:06:21:24,GET,/index.php?id=1' OR '1'='1' --,200,662,curl/7.68.0,SQL Injection
200,138.219.26.163,12/Mar/2025:09:44:04,GET,/index.php?id=1' OR '1'='1' --,200,711,Wget/1.21,SQL Injection
201,53.189.152.117,12/Mar/2025:11:55:06,GET,/../../../../etc/passwd,403,380,curl/7.68.0,Directory Traversal
202,93.160.140.56,12/Mar/2025:10:45:47,GET,/../../../../etc/passwd,403,716,Mozilla/5.0,Directory Traversal
203,134.3.62.195,11/Mar/2025:12:08:43,GET,/vulnerable.php?cmd=whoami,200,1391,Python-urllib/3.8,Remote Code Execution
204,216.106.151.127,11/Mar/2025:15:57:35,POST,/upload.php,200,679,Mozilla/5.0,Web Shell Upload
205,127.116.9.80,11/Mar/2025:13:47:38,GET,/vulnerable.php?cmd=whoami,200,561,Python-urllib/3.8,Remote Code Execution
206,124.198.230.244,12/Mar/2025:08:44:54,POST,/upload.php,200,1411,Python-urllib/3.8,Web Shell Upload
207,184.74.255.151,12/Mar/2025:00:24:18,POST,/upload.php,200,558,Mozilla/5.0,Web Shell Upload
208,126.184.1.1,11/Mar/2025:17:13:07,POST,/upload.php,200,345,Python-urllib/3.8,Web Shell Upload
209,72.32.162.49,11/Mar/2025:20:35:52,GET,/index.php?id=1' OR '1'='1' --,200,1100,Python-urllib/3.8,SQL Injection
210,252.14.213.131,11/Mar/2025:12:11:06,GET,/index.php?id=1' OR '1'='1' --,200,1469,Wget/1.21,SQL Injection
211,192.211.171.184,11/Mar/2025:17:17:42,GET,/../../../../etc/passwd,403,1233,Wget/1.21,Directory Traversal
212,22.86.104.176,12/Mar/2025:03:28:04,GET,/vulnerable.php?cmd=whoami,200,578,Wget/1.21,Remote Code Execution
213,127.113.193.68,12/Mar/2025:02:29:39,GET,/../../../../etc/passwd,403,1320,Python-urllib/3.8,Directory Traversal
214,144.119.121.195,12/Mar/2025:00:50:51,GET,/search.php?q=<script>alert('XSS')</script>,200,1068,curl/7.68.0,XSS Attack
215,57.91.229.42,11/Mar/2025:15:53:51,GET,/index.php?id=1' OR '1'='1' --,200,693,Python-urllib/3.8,SQL Injection
216,17.248.240.1,11/Mar/2025:20:01:46,GET,/vulnerable.php?cmd=whoami,200,844,Mozilla/5.0,Remote Code Execution
217,255.196.34.122,12/Mar/2025:02:59:57,GET,/search.php?q=<script>alert('XSS')</script>,200,1253,Wget/1.21,XSS Attack
218,180.150.102.148,12/Mar/2025:10:34:46,POST,/login.php,401,1316,curl/7.68.0,Brute Force Attempt
219,54.120.53.1,12/Mar/2025:02:06:42,GET,/vulnerable.php?cmd=whoami,200,1051,curl/7.68.0,Remote Code Execution
220,32.27.139.82,12/Mar/2025:08:19:13,POST,/login.php,401,361,Python-urllib/3.8,Brute Force Attempt
